id,label,subject,score,prediction
zs_bulk_account_suspension_0,phishing,Urgent: Account Suspension Notification,0.9877187642128333,phishing
zs_bulk_account_suspension_1,phishing,Urgent: Your Wells Fargo Account Suspended - Verify Now!,0.9850490121534422,phishing
zs_bulk_account_suspension_2,phishing,Urgent: Wells Fargo Account Suspended Due to Security Concerns,0.9662840747320033,phishing
zs_bulk_account_suspension_3,phishing,Urgent: Account Activity Notification from Wells Fargo,0.9881565308665318,phishing
zs_bulk_account_suspension_4,phishing,Urgent: Account Suspended - Verify Your Identity Now!,0.9374818055986383,phishing
zs_bulk_account_suspension_5,phishing,Urgent: Account Activity Alert - Your Wells Fargo Account Has Been Suspended,0.9866307181745847,phishing
zs_bulk_account_suspension_6,phishing,Urgent: Account Activity Alert - Wells Fargo Secure Verify Required,0.9837905080096494,phishing
zs_bulk_account_suspension_7,phishing,Urgent: Account Activity Alert - Wells Fargo Secure Access Notice,0.9755323232104827,phishing
zs_bulk_account_suspension_8,phishing,Urgent: Your Wells Fargo Account Temporarily Suspended,0.9726544487394749,phishing
zs_bulk_account_suspension_9,phishing,Urgent: Your Wells Fargo Account Temporarily Suspended - Verify Now!,0.9548497768823974,phishing
zs_bulk_password_reset_0,phishing,"Your Email Password Expiration Notice - act by March 18, 2025!",0.9901229046750393,phishing
zs_bulk_password_reset_1,phishing,"Urgent: Your Outlook.com Password Expiration Alert (March 18, 2025)",0.9718118937056794,phishing
zs_bulk_password_reset_2,phishing,"Your Email Password Expiration Notice - Action Required by March 18, 2025!",0.976935840730294,phishing
zs_bulk_password_reset_3,phishing,"Your Email Password Expiration Reminder - Take Action by March 18, 2025!",0.982682312199399,phishing
zs_bulk_password_reset_4,phishing,"Important: Your Email Password Expiration Reminder - March 18, 2025",0.9762240116899199,phishing
zs_bulk_password_reset_5,phishing,Important: Password Expiration Notice for your hotmail.com Account,0.9830676438159229,phishing
zs_bulk_password_reset_6,phishing,"Your Email Password Expiration Notice - Take Action by March 18, 2025!",0.9894446604167635,phishing
zs_bulk_password_reset_7,phishing,"Your Email Password Expiration Notification - Action Required by March 18th, 2025",0.9783072447419031,phishing
zs_bulk_password_reset_8,phishing,Important: Your Password Expiration Notice - 03/18/2025,0.9565307729931312,phishing
zs_bulk_password_reset_9,phishing,Your email password expiration notice - act now!,0.9740648315567536,phishing
zs_bulk_prize_0,phishing,You Have Won a $500 Amazon Gift Card!,0.9237031210732494,phishing
zs_bulk_prize_1,phishing,You've Won a $500 Amazon Gift Card!,0.7690911521804036,phishing
zs_bulk_prize_2,phishing,You've Won a $500 Amazon Gift Card!,0.9206315648048223,phishing
zs_bulk_prize_3,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.8932772325953022,phishing
zs_bulk_prize_4,phishing,You've Won a $500 Amazon Gift Card!,0.8955612269077866,phishing
zs_bulk_prize_5,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.9477473381361659,phishing
zs_bulk_prize_6,phishing,Congratulations! You Have Won a $500 Amazon Gift Card!,0.8808325418754944,phishing
zs_bulk_prize_7,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.851005275331053,phishing
zs_bulk_prize_8,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.8898099927125874,phishing
zs_bulk_prize_9,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.8614178419914168,phishing
zs_bulk_it_department_0,phishing,Your Mailbox Alert: Storage Upgrade Required,0.9084061739906318,phishing
zs_bulk_it_department_1,phishing,Your Email Storage is Reaching Critical Levels - Upgrade Now!,0.9005885446437011,phishing
zs_bulk_it_department_2,phishing,Mailbox Alert: Storage Capacity at 97%,0.8835797059791662,phishing
zs_bulk_it_department_3,phishing,Mailbox Storage Alert - Upgrade Required for Continued Service,0.9179479484761226,phishing
zs_bulk_it_department_4,phishing,Mailbox Storage Alert: Upgrade Required - 97% Capacity Reached!,0.9227962335180582,phishing
zs_bulk_it_department_5,phishing,Mailbox Storage Alert - Upgrade Required,0.9350932831183982,phishing
zs_bulk_it_department_6,phishing,Urgent: Your Mailbox Storage Capacity Alert,0.9410468827790645,phishing
zs_bulk_it_department_7,phishing,Mailbox Storage Alert - Upgrade Required,0.9207218258018287,phishing
zs_bulk_it_department_8,phishing,Mailbox Alert: Storage Upgrade Required for meridiancorp.com Account,0.8082490219960393,phishing
zs_bulk_it_department_9,phishing,Mailbox Storage Alert - Urgent Action Required,0.825227695605316,phishing
zs_bulk_invoice_0,phishing,Your McAfee Total Protection Subscription Renewal Confirmation,0.931539132162557,phishing
zs_bulk_invoice_1,phishing,Your McAfee Total Protection Subscription Renewal - INV-2025-88432,0.880943197463156,phishing
zs_bulk_invoice_2,phishing,Your McAfee Total Protection Subscription Renewal Payment Confirmation,0.9522039517259204,phishing
zs_bulk_invoice_3,phishing,McAfee Total Protection - Invoice INV-2025-88432: Payment Confirmation Required!,0.9797525496295106,phishing
zs_bulk_invoice_4,phishing,Your McAfee Total Protection Subscription Renewal - Payment Confirmation Required,0.9601396567526104,phishing
zs_bulk_invoice_5,phishing,Your McAfee Total Protection Subscription Renewal Payment Confirmation,0.9694029499276751,phishing
zs_bulk_invoice_6,phishing,Important: McAfee Total Protection Subscription Renewal Confirmation - INV-2025-88432,0.954024071261085,phishing
zs_bulk_invoice_7,phishing,Your McAfee Total Protection Subscription Renewal Confirmation,0.9158271462418914,phishing
zs_bulk_invoice_8,phishing,Payment Confirmation for McAfee Total Protection Subscription Renewal,0.944989874199272,phishing
zs_bulk_invoice_9,phishing,Your McAfee Total Protection Subscription Renewal Confirmation,0.9160067147075154,phishing
zs_bulk_delivery_0,phishing,Urgent - Additional Shipping Fee Required for Package DHL-8847291056,0.9594779375087847,phishing
zs_bulk_delivery_1,phishing,Urgent - Additional Shipping Fee for Package DHL-8847291056,0.8999527259157738,phishing
zs_bulk_delivery_2,phishing,Urgent: Additional Shipping Fee for Package DHL-8847291056,0.9524449843947301,phishing
zs_bulk_delivery_3,phishing,Urgent: Package Delivery Update - Tracking Number DHL-8847291056,0.9253428296971045,phishing
zs_bulk_delivery_4,phishing,Urgent: Additional Shipping Fee Required for Package DHL-8847291056,0.9235877209655258,phishing
zs_bulk_delivery_5,phishing,Urgent: Additional Shipping Fee Required for DHL Package,0.8188090868623411,phishing
zs_bulk_delivery_6,phishing,Urgent: Package Delayed - DHL-8847291056 Shipping Fee Required,0.965394775531561,phishing
zs_bulk_delivery_7,phishing,Urgent: Additional Shipping Fee for Package DHL-8847291056,0.9283517849420423,phishing
zs_bulk_delivery_8,phishing,Urgent - Additional Shipping Fee Required for Package DHL-8847291056,0.9464972328368721,phishing
zs_bulk_delivery_9,phishing,Urgent: Additional Shipping Fee Required for Package DHL-8847291056,0.867055867365884,phishing
zs_bulk_security_alert_0,phishing,Unauthorized access detected in your Microsoft account,0.957481715717115,phishing
zs_bulk_security_alert_1,phishing,Unauthorized Access to Your Microsoft Account Detected,0.9591292022984809,phishing
zs_bulk_security_alert_2,phishing,Alert: Unauthorized Access to Your Microsoft Account,0.926886717012257,phishing
zs_bulk_security_alert_3,phishing,Unauthorized access detected on your Microsoft account,0.9812456004425436,phishing
zs_bulk_security_alert_4,phishing,Security Alert: Unusual Activity Detected on Your Microsoft Account,0.9463864321213267,phishing
zs_bulk_security_alert_5,phishing,Unusual Activity on Your Microsoft Account,0.9510814885432262,phishing
zs_bulk_security_alert_6,phishing,Urgent: Possible Unauthorized Access to Your Microsoft Account,0.9646940469824751,phishing
zs_bulk_security_alert_7,phishing,Alert: Unauthorized Login Attempt from Microsoft Account,0.930167462239231,phishing
zs_bulk_security_alert_8,phishing,Security Alert: Unauthorized Access Attempted on Your Microsoft Account,0.971718624405901,phishing
zs_bulk_security_alert_9,phishing,Unauthorized Access Detected: Microsoft Account Notification,0.9521918119308055,phishing
zs_bulk_document_share_0,phishing,Karen Mitchell shared Q1 2025 Budget Review.xlsx with you on OneDrive,0.9717743866449708,phishing
zs_bulk_document_share_1,phishing,Karen Mitchell shared a file with you on OneDrive,0.9095645418186837,phishing
zs_bulk_document_share_2,phishing,"Karen Mitchell has shared ""Q1 2025 Budget Review.xlsx"" with you on OneDrive",0.9525475845246719,phishing
zs_bulk_document_share_3,phishing,Karen Mitchell has shared a document with you on OneDrive,0.9183863712843867,phishing
zs_bulk_document_share_4,phishing,Karen Mitchell shared Q1 2025 Budget Review.xlsx with you,0.9386241662967718,phishing
zs_bulk_document_share_5,phishing,Karen Mitchell shared a file with you - Q1 2025 Budget Review.xlsx,0.9466396055080942,phishing
zs_bulk_document_share_6,phishing,Karen Mitchell shared a file with you on OneDrive,0.8971172074095511,phishing
zs_bulk_document_share_7,phishing,"Karen Mitchell shared ""Q1 2025 Budget Review.xlsx"" with you",0.9307849434261163,phishing
zs_bulk_document_share_8,phishing,Karen Mitchell has shared a file with you on OneDrive,0.8458099682586655,phishing
zs_bulk_document_share_9,phishing,Karen Mitchell shared a file with you on OneDrive,0.9591989898006715,phishing
zs_spear_ceo_wire_0,phishing,Quick Favor Needed - Wire Transfer Urgent!,0.0919751651595618,legitimate
zs_spear_ceo_wire_1,phishing,Quick Favor Needed Sarah - Urgent,0.14101918175756956,legitimate
zs_spear_ceo_wire_2,phishing,Quick Favor on a Wire Transfer,0.13378670713027047,legitimate
